date,日期,客流
209,2022-07-28,36.24
210,2022-07-29,32.41
211,2022-07-30,43.89
212,2022-07-31,46.91
213,2022-08-01,40.86
214,2022-08-02,40.44
215,2022-08-03,40.72
216,2022-08-04,43.730000000000004
217,2022-08-05,42.47
218,2022-08-06,53.78
219,2022-08-07,44.63
220,2022-08-08,39.35
221,2022-08-09,30.81
222,2022-08-10,28.75
223,2022-08-11,30.6
224,2022-08-12,31.07
225,2022-08-13,35.58
226,2022-08-14,39.65
227,2022-08-15,33.13
228,2022-08-16,35.14
229,2022-08-17,35.43
230,2022-08-18,32.410000000000004
231,2022-08-19,18.86
232,2022-08-20,40.54
233,2022-08-21,33.9
234,2022-08-22,21.6
235,2022-08-23,30.97
236,2022-08-24,29.27
237,2022-08-25,25.900000000000002
238,2022-08-26,30.900000000000002
239,2022-08-27,32.69
240,2022-08-28,25.1
241,2022-08-29,18.74
242,2022-08-30,21.12
243,2022-08-31,20.77
244,2022-09-01,20.95
245,2022-09-02,21.56
246,2022-09-03,22.91
247,2022-09-04,20.14
248,2022-09-05,20.64
249,2022-09-06,20.82
250,2022-09-07,22.11
251,2022-09-08,22.89
252,2022-09-09,23.9
253,2022-09-10,32.04
254,2022-09-11,31.82
255,2022-09-12,29.32
256,2022-09-13,24.18
257,2022-09-14,24.34
258,2022-09-15,23.759999999999998
259,2022-09-16,24.23
260,2022-09-17,26.28
261,2022-09-18,27.8
262,2022-09-19,21.85
263,2022-09-20,22.28
264,2022-09-21,22.19
265,2022-09-22,21.11
266,2022-09-23,19.29
267,2022-09-24,21.97
268,2022-09-25,24.28
269,2022-09-26,22.37
270,2022-09-27,23.4
271,2022-09-28,23.07
272,2022-09-29,24.47
273,2022-09-30,23.27
274,2022-10-01,35.1
275,2022-10-02,43.45
276,2022-10-03,20.119999999999997
277,2022-10-04,26.16
278,2022-10-05,23.95
279,2022-10-06,24.81
280,2022-10-07,24.96
281,2022-10-08,20.26
282,2022-10-09,17.86
283,2022-10-10,19.77
284,2022-10-11,21.310000000000002
285,2022-10-12,22.07
286,2022-10-13,22.68
287,2022-10-14,22.55
288,2022-10-15,26.46
289,2022-10-16,23.14
290,2022-10-17,19.71
291,2022-10-18,21.17
292,2022-10-19,22.19
293,2022-10-20,23.37
294,2022-10-21,21.55
295,2022-10-22,25.83
296,2022-10-23,24.05
297,2022-10-24,21.96
298,2022-10-25,22.259999999999998
299,2022-10-26,18.87
300,2022-10-27,24.3
301,2022-10-28,21.41
302,2022-10-29,24.15
303,2022-10-30,22.43
304,2022-10-31,18.02
305,2022-11-01,18.68
306,2022-11-02,18.57
307,2022-11-03,17.99
308,2022-11-04,18.12
309,2022-11-05,18.75
310,2022-11-06,19.419999999999998
311,2022-11-07,18.66
312,2022-11-08,18.98
313,2022-11-09,19.52
314,2022-11-10,19.45
315,2022-11-11,18.49
316,2022-11-12,17.35
317,2022-11-13,17.88
318,2022-11-14,18.09
319,2022-11-15,18.52
320,2022-11-16,18.68
321,2022-11-17,18.740000000000002
322,2022-11-18,19.1
323,2022-11-19,17.88
324,2022-11-20,18.28
325,2022-11-21,17.91
326,2022-11-22,17.61
327,2022-11-23,16.68
328,2022-11-24,15.03
329,2022-11-25,14.29
330,2022-11-26,13.450000000000001
331,2022-11-27,12.65
332,2022-11-28,13.23
333,2022-11-29,12.87
334,2022-11-30,12.27
335,2022-12-01,11.9
336,2022-12-02,11.55
337,2022-12-03,10.7
338,2022-12-04,10.21
339,2022-12-05,10.63
340,2022-12-06,10.52
341,2022-12-07,11.1
342,2022-12-08,11.34
343,2022-12-09,12.17
344,2022-12-10,12.379999999999999
345,2022-12-11,12.25
346,2022-12-12,11.93
347,2022-12-13,11.42
348,2022-12-14,11.14
349,2022-12-15,10.65
350,2022-12-16,10.209999999999999
351,2022-12-17,9.24
352,2022-12-18,8.53
353,2022-12-19,8.56
354,2022-12-20,8.52
355,2022-12-21,8.29
356,2022-12-22,8.19
357,2022-12-23,8.81
358,2022-12-24,10.07
359,2022-12-25,10.92
360,2022-12-26,10.5
361,2022-12-27,10.91
362,2022-12-28,10.87
363,2022-12-29,11.62
364,2022-12-30,12.5
365,2022-12-31,18.24
366,2023-01-01,17.73
367,2023-01-02,14.44
368,2023-01-03,13.59
369,2023-01-04,14.16
370,2023-01-05,15.5
371,2023-01-06,14.91
