日期,景点,省份,市,客流指数
2022-1-4,萧红故居,黑龙江省,哈尔滨市,0.14
2022-1-4,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.14
2022-1-4,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-5,斯大林公园,黑龙江省,哈尔滨市,2.14
2022-1-5,中华巴洛克,黑龙江省,哈尔滨市,2.02
2022-1-5,儿童公园,黑龙江省,哈尔滨市,1.39
2022-1-5,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.19
2022-1-5,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.07
2022-1-5,圣索菲亚教堂,黑龙江省,哈尔滨市,0.91
2022-1-5,龙塔,黑龙江省,哈尔滨市,0.72
2022-1-5,二龙山风景区,黑龙江省,哈尔滨市,0.61
2022-1-5,群力丁香公园,黑龙江省,哈尔滨市,0.52
2022-1-5,黑龙江省博物馆,黑龙江省,哈尔滨市,0.5
2022-1-5,哈尔滨文化公园,黑龙江省,哈尔滨市,0.49
2022-1-5,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.36
2022-1-5,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.34
2022-1-5,古梨园,黑龙江省,哈尔滨市,0.34
2022-1-5,东北虎林园,黑龙江省,哈尔滨市,0.27
2022-1-5,哈尔滨极地馆,黑龙江省,哈尔滨市,0.25
2022-1-5,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-5,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-5,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.15
2022-1-5,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-6,中华巴洛克,黑龙江省,哈尔滨市,1.95
2022-1-6,斯大林公园,黑龙江省,哈尔滨市,1.72
2022-1-6,儿童公园,黑龙江省,哈尔滨市,1.37
2022-1-6,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.18
2022-1-6,圣索菲亚教堂,黑龙江省,哈尔滨市,0.9
2022-1-6,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.78
2022-1-6,龙塔,黑龙江省,哈尔滨市,0.71
2022-1-6,二龙山风景区,黑龙江省,哈尔滨市,0.56
2022-1-6,群力丁香公园,黑龙江省,哈尔滨市,0.54
2022-1-6,黑龙江省博物馆,黑龙江省,哈尔滨市,0.49
2022-1-6,哈尔滨文化公园,黑龙江省,哈尔滨市,0.46
2022-1-6,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.38
2022-1-6,古梨园,黑龙江省,哈尔滨市,0.34
2022-1-6,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.32
2022-1-6,哈尔滨极地馆,黑龙江省,哈尔滨市,0.27
2022-1-6,东北虎林园,黑龙江省,哈尔滨市,0.25
2022-1-6,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-6,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-6,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.16
