date,日期,星期
291,2022-10-18,2
292,2022-10-19,3
293,2022-10-20,4
294,2022-10-21,5
295,2022-10-22,6
296,2022-10-23,7
297,2022-10-24,1
298,2022-10-25,2
299,2022-10-26,3
300,2022-10-27,4
301,2022-10-28,5
302,2022-10-29,6
303,2022-10-30,7
304,2022-10-31,1
305,2022-11-01,2
306,2022-11-02,3
307,2022-11-03,4
308,2022-11-04,5
309,2022-11-05,6
310,2022-11-06,7
311,2022-11-07,1
312,2022-11-08,2
313,2022-11-09,3
314,2022-11-10,4
315,2022-11-11,5
316,2022-11-12,6
317,2022-11-13,7
318,2022-11-14,1
319,2022-11-15,2
320,2022-11-16,3
321,2022-11-17,4
322,2022-11-18,5
323,2022-11-19,6
324,2022-11-20,7
325,2022-11-21,1
326,2022-11-22,2
327,2022-11-23,3
328,2022-11-24,4
329,2022-11-25,5
330,2022-11-26,6
331,2022-11-27,7
332,2022-11-28,1
333,2022-11-29,2
334,2022-11-30,3
335,2022-12-01,4
336,2022-12-02,5
337,2022-12-03,6
338,2022-12-04,7
339,2022-12-05,1
340,2022-12-06,2
341,2022-12-07,3
342,2022-12-08,4
343,2022-12-09,5
344,2022-12-10,6
345,2022-12-11,7
346,2022-12-12,1
347,2022-12-13,2
348,2022-12-14,3
349,2022-12-15,4
350,2022-12-16,5
351,2022-12-17,6
352,2022-12-18,7
353,2022-12-19,1
354,2022-12-20,2
355,2022-12-21,3
356,2022-12-22,4
357,2022-12-23,5
358,2022-12-24,6
359,2022-12-25,7
360,2022-12-26,1
361,2022-12-27,2
362,2022-12-28,3
363,2022-12-29,4
364,2022-12-30,5
365,2022-12-31,6
366,2023-01-01,7
367,2023-01-02,1
368,2023-01-03,2
369,2023-01-04,3
370,2023-01-05,4
371,2023-01-06,5
372,2023-01-07,6
373,2023-01-08,7
374,2023-01-09,1
375,2023-01-10,2
376,2023-01-11,3
377,2023-01-12,4
378,2023-01-13,5
379,2023-01-14,6
380,2023-01-15,7
381,2023-01-16,1
382,2023-01-17,2
383,2023-01-18,3
384,2023-01-19,4
385,2023-01-20,5
386,2023-01-21,6
387,2023-01-22,7
388,2023-01-23,1
389,2023-01-24,2
390,2023-01-25,3
391,2023-01-26,4
392,2023-01-27,5
393,2023-01-28,6
394,2023-01-29,7
395,2023-01-30,1
396,2023-01-31,2
397,2023-02-01,3
398,2023-02-02,4
399,2023-02-03,5
400,2023-02-04,6
401,2023-02-05,7
402,2023-02-06,1
403,2023-02-07,2
404,2023-02-08,3
405,2023-02-09,4
406,2023-02-10,5
407,2023-02-11,6
408,2023-02-12,7
409,2023-02-13,1
410,2023-02-14,2
411,2023-02-15,3
412,2023-02-16,4
413,2023-02-17,5
414,2023-02-18,6
415,2023-02-19,7
416,2023-02-20,1
417,2023-02-21,2
418,2023-02-22,3
419,2023-02-23,4
420,2023-02-24,5
421,2023-02-25,6
422,2023-02-26,7
423,2023-02-27,1
424,2023-02-28,2
425,2023-03-01,3
426,2023-03-02,4
427,2023-03-03,5
428,2023-03-04,6
429,2023-03-05,7
430,2023-03-06,1
431,2023-03-07,2
